id	smiles	Mw	Qed	logP	Mr	HBD	HBA	RB	TPSA	AromaticRings	FractionCSP3
TKC003279	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O	2	5	10	14	17	23	27	31	33	39
TKC003280	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(C)=O)[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O	2	5	10	14	17	23	27	31	33	39
TKC003281	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(=O)/C=C\C=C\CCCCC)[C@@]23C(=C[C@H](O)C[C@@H]12)[C@@H](OC(C)=O)O[C@@H]3OC(C)=O	3	5	11	15	17	22	27	31	33	39
TKC003282	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(=O)/C=C\C=C\CCCCC)[C@H](O)[C@@]23C(=C[C@H](O)C[C@@H]12)[C@@H](OC(C)=O)O[C@@H]3OC(C)=O	3	5	11	15	17	22	27	31	33	39
TKC003283	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(=O)/C=C\C=C\CCCCC)[C@H](OC(C)=O)[C@@]23C(=C[C@H](O)C[C@@H]12)[C@@H](OC(C)=O)O[C@@H]3OC(C)=O	3	5	11	15	17	23	27	31	33	39
TKC003285	C=CC(=C)CC[C@]1(C)[C@H](C)[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@H](OC)O[C@H]3OC	3	5	11	15	17	22	27	31	34	38
TKC003290	C=CC(=C)CC[C@@]1(C)[C@@H](C)[C@@H](O)[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)CC)C[C@H]12)[C@H](OC(=O)CCC)O[C@@H]3OC(C)=O	2	5	10	14	17	22	27	31	33	39
TKC003294	C=CC(=C)[C@H](O)C[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)CC(O)CCCCCCCCC)C[C@H]1C	3	5	11	15	18	23	28	31	33	39
TKC003295	C=CC(=C)[C@@H](O)C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)CCCCCCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC2OC[C@@H](O)[C@H](O)[C@H]2O)C[C@H]1C	3	5	10	15	18	23	28	31	33	39
TKC003296	C=CC(=C)[C@@H](C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)/C=C\C=C\CCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@H](O)C[C@H]1C)OO	3	5	11	15	17	23	27	31	33	39
TKC003303	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)/C=C\C=C\CCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@H](O)C[C@H]1C	2	5	11	15	17	22	27	30	33	39
TKC003306	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)c2ccc(O)cc2)C[C@H]1C	2	6	10	14	17	22	26	31	34	38
TKC003308	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)c3ccc(O)cc3)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](O)C[C@H]1C	2	6	10	14	17	22	26	31	34	38
TKC003309	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(C)=O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)c2ccc(O)cc2)C[C@H]1C	2	5	11	15	17	23	26	31	34	38
TKC003310	C=C/C(C)=C/C[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)CC)C[C@H]12)[C@H](OC(C)=O)O[C@@H]3OC(C)=O	2	6	10	14	17	22	26	30	33	39
TKC003318	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@H](OC(=O)CCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@@]32[C@@H](O)C[C@H]1C	2	5	11	14	17	22	27	30	33	39
TKC003319	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@H](OC(=O)C(C)CC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@@]32[C@@H](O)C[C@H]1C	2	6	10	14	17	22	26	30	33	39
TKC003321	C=C/C(C)=C/C[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)C)C[C@H]12)[C@H](OC(C)=O)O[C@@H]3OC(C)=O	2	6	10	14	17	22	26	30	33	39
TKC003327	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@H](OC(=O)C(C)C)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@@]32[C@@H](O)C[C@H]1C	2	6	10	14	17	22	26	30	33	39
TKC003331	C=C/C(C)=C/C[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23C(=C[C@H](OC(=O)/C=C\C=C\CCCCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O	2	5	11	15	17	22	27	30	33	39
TKC003334	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](OC(=O)CCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](O)C[C@H]1C	2	6	10	14	17	22	26	30	33	39
