TKC003296	C=CC(=C)[C@@H](C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)/C=C\C=C\CCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@H](O)C[C@H]1C)OO
TKC003303	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)/C=C\C=C\CCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@H](O)C[C@H]1C
TKC003306	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)c2ccc(O)cc2)C[C@H]1C
TKC003308	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)c3ccc(O)cc3)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](O)C[C@H]1C
TKC003309	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(C)=O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)c2ccc(O)cc2)C[C@H]1C
TKC003310	C=C/C(C)=C/C[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)CC)C[C@H]12)[C@H](OC(C)=O)O[C@@H]3OC(C)=O
TKC003318	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@H](OC(=O)CCCCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@@]32[C@@H](O)C[C@H]1C
TKC003319	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@H](OC(=O)C(C)CC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@@]32[C@@H](O)C[C@H]1C
TKC003321	C=C/C(C)=C/C[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)C)C[C@H]12)[C@H](OC(C)=O)O[C@@H]3OC(C)=O
TKC003327	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@H](OC(=O)C(C)C)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@@]32[C@@H](O)C[C@H]1C
TKC003331	C=C/C(C)=C/C[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23C(=C[C@H](OC(=O)/C=C\C=C\CCCCC)C[C@@H]12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
TKC003334	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](OC(=O)CCC)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](O)C[C@H]1C
TKC003339	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](OC(=O)CC)C=C3[C@@H](OC)O[C@@H](OC(C)=O)[C@]32[C@@H](OC)C[C@H]1C
TKC003340	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)CC(O)CCCCCCCCC)C[C@H]1C
TKC003345	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@H](O)C=C3[C@@H](OC)O[C@@H](OC)[C@]32[C@@H](OC)C[C@H]1C
TKC003346	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC)O[C@H](OC(C)=O)[C@]32[C@@H](OC)C[C@H]1C
TKC003349	C=CC(=C)CCC1(C)C(C)CC(O)C23C(=C[C@H](OC(=O)[C@@H](C)CC)CC12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
TKC003355	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@H](O)C=C3[C@@H](OC)O[C@@H](OC(C)=O)[C@]32[C@@H](OC)C[C@H]1C
TKC003356	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@H](OC(C)=O)C=C3[C@@H](OC(=O)CCC)O[C@H](OC(C)=O)[C@]32[C@@H](OC)C[C@H]1C
TKC003357	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@H](O)C=C3[C@@H](OC)O[C@@H](OC)[C@]32[C@@H](OC)C[C@H]1C
TKC003359	C=CC(=C)CC[C@@]1(C)[C@@H]2C[C@@H](O)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32[C@@H](OC(=O)CCCCCCCCC)C[C@H]1C
TKC003362	C=CC(=C)CC[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)CC)C[C@H]12)[C@@H](OCC)O[C@@H]3OC(C)=O
TKC003363	C=CC(=C)CC[C@@]1(C)[C@@H](C)C[C@@H](OC)[C@]23C(=CC(=O)C[C@H]12)[C@H](OC(C)=O)O[C@@H]3OC(C)=O
TKC003372	C=CC(=C)CC[C@@]1(C)[C@@H](C)C[C@@H](O)[C@]23C(=C[C@@H](OC(=O)C(C)CC)C[C@H]12)[C@H](OC(=O)CCC)O[C@@H]3OC(C)=O
TKC003376	C=CC(=C)CCC1(C)C(C)CC(O)C23C(=C[C@H](OC(=O)CC)CC12)[C@@H](OC(C)=O)O[C@H]3OC(C)=O
TKC003380	C=CC(=C)CC[C@@]1(C)[C@@H](C)C[C@@H](OC)[C@]23C(=C[C@H](OC(C)=O)C[C@H]12)[C@H](OC(C)=O)O[C@@H]3OC(C)=O
TKC003386	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)c3ccc(O)cc3)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32CC[C@H]1C
TKC003387	C=C/C(C)=C/C[C@@]1(C)[C@@H]2C[C@@H](OC(=O)c3ccc(O)c(OC)c3)C=C3[C@@H](OC(C)=O)O[C@@H](OC(C)=O)[C@]32CC[C@H]1C
TKC003509	C=C1C(=O)O[C@]2(C)CC[C@@H]1C[C@@H]1O[C@@]1(C)CC/C=C(\C)CCC2=O
TKC003510	C=C(C(=O)OC)[C@H]1CC[C@](C)(O)C(=O)CC/C(C)=C/CC[C@]2(C)O[C@@H]2C1
TKC003549	C=C1CCC[C@@H](C)[C@H](O)[C@@H]2OC(=O)C(=C)[C@@H]2C[C@@H](OC(C)=O)[C@@]2(C)CC[C@@H]1O2
TKC003558	CC(=O)O[C@@]1(C)CCC(=O)[C@@H](C)CCC[C@]2(C)O[C@H]2C(=O)C(=C(C)C)CC1
TKC003559	CC(=O)O[C@@]1(C)CCC(=O)[C@H](C)CCC[C@]2(C)O[C@H]2C(=O)C(=C(C)C)CC1
TKC003737	C=C1[C@@H]2CC[C@H]3[C@]45CO[C@H](CC4=O)C(C)(C)C5=C(O)C(=O)[C@]3(C2)[C@@H]1O
TKC003741	C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]12CO[C@H](CC1=O)C(C)(C)C2=C(O)C3=O
TKC003757	C=C1C(=O)[C@]23[C@@H]4[C@@]5(CCCC(C)(C)[C@H]5C[C@H]2O)CO[C@]4(O)C[C@@H]1[C@H]3O
TKC003768	CO[C@H]1OC(=O)C[C@@]12CC[C@@]1(O2)[C@H](C)CC[C@H]2C(C)(C)[C@@H](OC(C)=O)CC[C@@]21C
